,nome,porcentagem_desconto,preco,tipo
0,euro truck simulator 2  brazilian paint jobs pack,71,0.72,dlc
1,devil may cry 3  special edition,75,9.99,padrao
2,far cry 6,0,249.99,padrao
3,tales of vesperia definitive edition,0,139.9,padrao
4,xbox  cartao presente digital 20 reais,0,20.0,padrao
5,monster hunter world iceborne master edition,51,62.99,padrao
6,lego batman,0,89.99,padrao
7,naruto shippuden ultimate ninja storm 4  season pass,0,49.9,dlc
8,call of juarez 2 bound in blood,0,19.99,padrao
9,batman arkham collection,0,279.99,padrao
10,enslaved odyssey to the west premium edition,0,34.99,padrao
11,the last campfire,0,28.99,padrao
12,lego batman 2 dc super heroes,0,89.99,padrao
13,ni no kuni ii revenant kingdom  season pass,0,59.9,dlc
14,enigma do medo,9,49.99,prevenda
15,star wars  the force unleashed ultimate sith edition,0,37.99,padrao
16,assassins creed valhalla,0,199.99,padrao
17,castlevania lords of shadow 2  revelations,0,15.99,dlc
18,naruto shippuden ultimate ninja storm legacy,0,217.99,padrao
19,shovel knight pocket dungeon,0,37.99,padrao
20,naruto shippuden ultimate ninja storm 4,0,97.0,padrao
21,trail out,0,37.99,padrao
22,sword art online hollow realization deluxe edition,0,90.99,padrao
23,s.t.a.l.k.e.r. call of pripyat,70,10.49,padrao
24,crunchyroll mega fan  1 mes,0,19.99,padrao
25,171,0,59.99,padrao
26,f1 manager 2022,80,19.99,padrao
27,middleearth shadow of war  expansion pass,0,69.99,dlc
28,arma 3,0,99.99,padrao
29,monster hunter world,52,32.99,padrao
30,wildfrost,13,51.99,padrao
31,bagdex  standard,0,35.0,prevenda
32,dayz livonia,0,24.99,dlc
33,resident evil village  winters expansion,31,46.0,dlc
34,crunchyroll fan  1 mes,0,14.99,padrao
35,xbox  cartao presente digital 10 reais,0,10.0,padrao
36,dragon ball z kakarot,0,159.9,padrao
37,mortal kombat x,0,89.99,padrao
38,rain world,0,36.99,padrao
39,secret neighbor,0,37.99,padrao
40,resident evil village,54,63.99,padrao
41,ni no kuni ii revenant kingdom  the princes edition,0,219.9,padrao
42,wrc 10 fia world rally championship,0,109.99,padrao
43,devil may cry hd collection,68,21.99,padrao
44,frostpunk,0,88.99,padrao
45,frostpunk  season pass,0,78.02,dlc
46,resident evil village gold edition,43,96.0,padrao
