,nome,porcentagem_desconto,preco,tipo
0,darkest dungeon ancestral edition,0,94.99,pacote
1,darkest dungeon,0,45.99,padrao
2,resident evil 2  biohazard re2  deluxe edition,0,109.99,padrao
3,mad max,94,4.5,padrao
4,enter the gungeon,0,27.99,padrao
5,resident evil 7 biohazard gold edition,0,87.08,padrao
6,lego harry potter years 1 4,0,89.99,padrao
7,sid meiers civilization v the complete edition,0,99.99,padrao
8,resident evil 3,0,129.99,padrao
9,resident evil hd remaster,0,39.99,padrao
10,lego marvel super heroes,94,4.5,padrao
11,gris,0,32.99,padrao
12,resident evil 2  biohazard re2,0,89.99,padrao
13,f.e.a.r. 3,94,4.5,padrao
14,dayz,50,59.99,padrao
15,middleearth shadow of mordor  game of the year edition,94,4.5,padrao
16,secret neighbor,75,9.49,padrao
17,euro truck simulator 2,0,39.99,padrao
18,the lego ninjago movie video game,94,4.5,padrao
19,dragon ball z kakarot  deluxe edition,0,249.9,padrao
20,resident evil 4,8,228.99,padrao
21,lego jurassic world,90,8.99,padrao
22,monster hunter world iceborne master edition,0,129.99,padrao
23,subnautica below zero,40,34.79,padrao
24,rollercoaster tycoon 3 complete edition,0,37.99,padrao
25,euro truck simulator 2  special transport,0,12.19,dlc
26,xbox  cartao presente digital 70 reais,0,70.0,padrao
27,lego star wars the force awakens,94,4.5,padrao
28,far cry 6,0,249.99,padrao
29,batman arkham knight,85,13.49,padrao
30,batman arkham origins,80,17.99,padrao
31,devil may cry 5 + vergil,0,89.99,padrao
32,street fighter v,0,39.99,padrao
33,darkest dungeon the crimson court,0,19.99,dlc
34,dont starve together,0,27.99,padrao
35,resident evil 6,0,84.99,padrao
36,katana zero,0,28.99,padrao
37,the legend of heroes trails in the sky the 3rd,0,55.99,padrao
38,hotline miami 2 wrong number,0,24.99,padrao
39,darkest dungeon color of madness,0,10.89,dlc
40,lego harry potter years 57,90,8.99,padrao
41,riot points  gift card digital 20 reais,0,20.0,padrao
42,the legend of heroes trails in the sky sc,0,69.99,padrao
43,mortal kombat xl,90,12.99,pacote
44,euro truck simulator 2  heavy cargo pack,0,12.49,dlc
45,mega man x legacy collection 2,0,39.99,padrao
46,euro truck simulator 2  going east!,0,24.99,dlc
47,little nightmares,75,19.99,padrao
48,naruto shippuden ultimate ninja storm 4  season pass,0,49.9,dlc
49,enigma do medo  bundle do medo,12,105.0,prevenda
50,euro truck simulator 2  scandinavia,0,44.99,dlc
51,enslaved odyssey to the west premium edition,0,34.99,padrao
52,the last campfire,0,28.99,padrao
53,darkest dungeon the shieldbreaker,0,8.69,dlc
54,the legend of heroes trails in the sky,0,36.99,padrao
55,the legend of heroes trails of cold steel,0,72.99,padrao
56,the legend of heroes trails of cold steel ii,0,72.99,padrao
57,resident evil revelations,0,59.99,padrao
58,castlevania lords of shadow  ultimate edition,0,49.99,padrao
59,dragons dogma dark arisen,0,74.99,padrao
60,gta online great white shark cash card,0,35.99,padrao
61,the last of us  part i,10,223.99,padrao
62,quantum break,0,72.99,padrao
63,naruto shippuden ultimate ninja storm revolution,0,55.99,padrao
64,s.t.a.l.k.e.r. shadow of chernobyl,0,34.99,padrao
65,xbox  cartao presente digital 10 reais,0,10.0,padrao
66,cult of the lamb,0,64.95,padrao
